role,title,company,city,location,description,skills,skill_count,combined_text,education,job_mode,experience_min,experience_max,days_ago,posted_date,salary_raw,salary_min,salary_max,salary_estimate,source,extracted_skills,extracted_skill_count
Data Analyst,Data Analyst,Capgemini,Mumbai,"Hybrid - Chennai, Delhi / NCR, Mumbai (All Areas), India",Power Bi Data Analysis Data Visualization Tableau Data Analytics SQL Analytics Analysis,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau Power Bi Data Analysis Data Visualization Tableau Data Analytics SQL Analytics Analysis B.Tech Hybrid Mumbai",B.Tech,Hybrid,4,9,1,1 day ago,Not Disclosed,,,690000,Naukri,"data analysis, power bi, sql, tableau, r",5
Data Analyst,Data Analyst,Airtel Payments Bank,Gurugram,"Gurugram, India",Power Bi SQL Python Oracle SQL Quicksight Data Analysis Data Visualization Oracle,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau Power Bi SQL Python Oracle SQL Quicksight Data Analysis Data Visualization Oracle B.Tech On-site Gurugram",B.Tech,On-site,2,5,7,1 week ago,Not Disclosed,,,570000,Naukri,"data analysis, power bi, sql, python, r",5
Data Analyst,"Data Steward, Analyst/Associate",Goldman Sachs,Bengaluru,"Bengaluru, India",Automation Data management Wealth management Analytical Mutual funds Reconciliation Asset management Macros,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau Automation Data management Wealth management Analytical Mutual funds Reconciliation Asset management Macros B.Tech On-site Bengaluru",B.Tech,On-site,0,3,30,3+ weeks ago,Not Disclosed,,,450000,Naukri,r,1
Data Analyst,Data Analyst,Sbicap Securities,Mumbai,"Mumbai, India",Data Analysis Predictive Modeling Statistical Modeling Data Analytics SQL Python Predictive Analytics Modeling,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau Data Analysis Predictive Modeling Statistical Modeling Data Analytics SQL Python Predictive Analytics Modeling B.Tech On-site Mumbai",B.Tech,On-site,0,0,7,1 week ago,10-15 Lacs PA,1000000.0,1500000.0,1250000,Naukri,"data analysis, sql, python, r",4
Data Analyst,Data Analyst,Wonderla Holidays,Bengaluru,"Bengaluru, India",D2C Google Data Studio R Google Analytics Power Bi business metrics Campaign Analytics Tableau,"data analysis, excel, power bi, python, r, sql, statistics, tableau",8,"Data Analyst data analysis, excel, power bi, python, r, sql, statistics, tableau D2C Google Data Studio R Google Analytics Power Bi business metrics Campaign Analytics Tableau B.Tech On-site Bengaluru",B.Tech,On-site,3,5,7,1 week ago,"50,000-80,000 PA",,,65000,Naukri,"power bi, tableau, r",3
Data Analyst,Data Analyst,Snapdeal,Gurugram,"Gurugram, India",master data python metadata data analysis data analytics data management configuration data mining,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau master data python metadata data analysis data analytics data management configuration data mining B.Tech On-site Gurugram",B.Tech,On-site,1,6,30,3+ weeks ago,Not Disclosed,,,510000,Naukri,"data analysis, python, r",3
Data Analyst,Data Analyst,Tata Consultancy Services,Bengaluru,"Pune, Bengaluru, India",Data Analysis Data Warehousing Data Analytics SQL Data Analysis Warehouse Analytics,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau Data Analysis Data Warehousing Data Analytics SQL Data Analysis Warehouse Analytics B.Tech On-site Bengaluru",B.Tech,On-site,4,8,14,2 weeks ago,Not Disclosed,,,690000,Naukri,"data analysis, sql, r",3
Data Analyst,Procurement Data Analyst,G4S,Remote,"Remote, India",Google Sheets Excel SAP Power Bi Looker Studio Tableau Oracle Supply Chain,"data analysis, excel, looker, power bi, python, sql, statistics, tableau",8,"Data Analyst data analysis, excel, looker, power bi, python, sql, statistics, tableau Google Sheets Excel SAP Power Bi Looker Studio Tableau Oracle Supply Chain B.Tech Remote Remote",B.Tech,Remote,2,5,7,1 week ago,7-9 Lacs PA,700000.0,900000.0,800000,Naukri,"excel, power bi, tableau, r",4
Data Analyst,Data Analyst,Kiya.Ai,Bengaluru,"Hybrid - Bengaluru, Mumbai (All Areas), India",Power Bi Data Analysis Tableau SQL Capital Market Investment Banking Risk Assessment Risk,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau Power Bi Data Analysis Tableau SQL Capital Market Investment Banking Risk Assessment Risk B.Tech Hybrid Bengaluru",B.Tech,Hybrid,3,7,4,4 days ago,5-11 Lacs PA,500000.0,1100000.0,800000,Naukri,"data analysis, power bi, sql, tableau, r",5
Data Analyst,Data Analyst (Procurement & REWS),Wpp,Mumbai,"Mumbai, India",erp data analysis data analytics supply chain real estate power bi transformation real estate management,"data analysis, excel, power bi, python, sql, statistics, tableau",7,"Data Analyst data analysis, excel, power bi, python, sql, statistics, tableau erp data analysis data analytics supply chain real estate power bi transformation real estate management B.Tech On-site Mumbai",B.Tech,On-site,3,5,30,3+ weeks ago,Not Disclosed,,,630000,Naukri,"data analysis, power bi, r",3
